cdmTableName,cdmFieldName,isRequired,cdmDatatype,userGuidance,etlConventions,isPrimaryKey,isForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique DQ identifiers
care_site,site_id,No,bigint,Not part of OMOP CDM. The id of the Site corresponding to the CareSite.,NA,No,Yes,Site,id,ORGANIZATION,NA,NA
person,provided_by_organization_id,Yes,integer,Not part of OMOP CDM. The id of the Organization that provided the data for this Person.,NA,No,Yes,Organization,id,ORGANIZATION,NA,NA
person,person_type_concept_id,Yes,integer,"Not part of OMOP CDM. The conceptual type of Person under study, e.g. human, animal or environment, since data from non-human origin are also in scope.",NA,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
observation_period,observation_period_start_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
observation_period,observation_period_end_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_start_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_end_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
procedure_occurrence,procedure_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
drug_exposure,drug_exposure_start_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
drug_exposure,drug_exposure_end_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
device_exposure,device_exposure_start_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
device_exposure,device_exposure_end_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
measurement,measurement_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
measurement,derived_from_specimen_id,No,integer,Not part of OMOP CDM. The specimen from which this measurement was derived.,NA,No,Yes,SPECIMEN,SPECIMEN_ID,NA,NA,NA
observation,observation_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
observation,value_as_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
specimen,specimen_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
specimen,derived_from_specimen_id,No,integer,Not part of OMOP CDM. The source specimen from which this specimen was derived.,NA,No,Yes,SPECIMEN,SPECIMEN_ID,NA,NA,NA
specimen,derived_from_specimen_concept_id,No,integer,Not part of OMOP CDM. The protocol used to derive this specimen from the source specimen.,NA,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
drug_era,drug_era_start_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
drug_era,drug_era_end_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
